Lord Memory: Detected memory leaks !!! 
Lord Memory: (2060) Allocation(s) with total 578136 bytes.
Lord Memory: Dumping allocations -> 
Item.cpp(252) : {100 bytes} function: MINE_CRAFT::Item::initialize
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
NoiseGeneratorPerlin.cpp(12) : {2048 bytes} function: MINE_CRAFT::NoiseGeneratorPerlin::NoiseGeneratorPerlin
BiomeDecorator.cpp(16) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(39) : {104 bytes} function: MINE_CRAFT::BiomeGenBase::initialize
NoiseGeneratorOctaves.cpp(14) : {32 bytes} function: MINE_CRAFT::NoiseGeneratorOctaves::NoiseGeneratorOctaves
gamesserver.cpp(73) : {724 bytes} function: CGamesServer::initMCWorld
BiomeDecorator.cpp(26) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(231) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(32) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(29) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
LordMath.cpp(80) : {262144 bytes} function: LORD::Math::InitMathLib
Items.cpp(42) : {20 bytes} function: MINE_CRAFT::ToolMaterial::initialize
BlockManager.cpp(410) : {112 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
BiomeDecorator.cpp(17) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(33) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeGen.cpp(253) : {168 bytes} function: MINE_CRAFT::BiomeGenBase::createBiomeDecorator
Item.cpp(315) : {88 bytes} function: MINE_CRAFT::Item::initialize
DamageSource.cpp(35) : {52 bytes} function: MINE_CRAFT::DamageSource::initialize
BiomeDecorator.cpp(18) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(35) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
DamageSource.cpp(34) : {52 bytes} function: MINE_CRAFT::DamageSource::initialize
StructurePieces.cpp(120) : {20 bytes} function: MINE_CRAFT::StructureNetherBridgePieces::initialize
BiomeDecorator.cpp(16) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(27) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(19) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(242) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(17) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Item.cpp(314) : {88 bytes} function: MINE_CRAFT::Item::initialize
BiomeDecorator.cpp(30) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
WorldGenerator.cpp(903) : {20 bytes} function: MINE_CRAFT::WorldGenDungeons::initialize
Root.cpp(243) : {24 bytes} function: LORD::Root::initialize_mini
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeDecorator.cpp(23) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(253) : {168 bytes} function: MINE_CRAFT::BiomeGenBase::createBiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
BlockManager.cpp(216) : {1024 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(21) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Item.cpp(222) : {124 bytes} function: MINE_CRAFT::Item::initialize
StatList.cpp(190) : {84 bytes} function: MINE_CRAFT::StatList::initCraftableStats
BiomeDecorator.cpp(19) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(286) : {168 bytes} function: MINE_CRAFT::BlockManager::initialize
Root.cpp(249) : {48 bytes} function: LORD::Root::initialize_mini
Item.cpp(264) : {92 bytes} function: MINE_CRAFT::Item::initialize
BlockManager.cpp(302) : {136 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(30) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(27) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
LogManager.cpp(243) : {248 bytes} function: LORD::LogManager::createDefaultLog
BiomeGen.cpp(253) : {168 bytes} function: MINE_CRAFT::BiomeGenBase::createBiomeDecorator
Root.cpp(251) : {184 bytes} function: LORD::Root::initialize_mini
BiomeDecorator.cpp(24) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Enchantment.cpp(53) : {52 bytes} function: MINE_CRAFT::Enchantment::initialize
BiomeDecorator.cpp(22) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(32) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(230) : {120 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
NoiseGeneratorOctaves.cpp(14) : {32 bytes} function: MINE_CRAFT::NoiseGeneratorOctaves::NoiseGeneratorOctaves
Item.cpp(192) : {24 bytes} function: MINE_CRAFT::Item::initialize
BiomeDecorator.cpp(35) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Item.cpp(297) : {88 bytes} function: MINE_CRAFT::Item::initialize
BiomeGen.cpp(230) : {120 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(231) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
Recipes.cpp(51) : {32 bytes} function: MINE_CRAFT::FurnaceRecipes::smelting
BiomeGen.cpp(231) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(26) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
StatList.cpp(66) : {80 bytes} function: MINE_CRAFT::StatList::initialize
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(232) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(232) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(233) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
StatList.cpp(265) : {84 bytes} function: MINE_CRAFT::StatList::initBreakStats
BiomeDecorator.cpp(27) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
Items.cpp(99) : {24 bytes} function: MINE_CRAFT::ArmorMaterial::initialize
BiomeGen.cpp(233) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(23) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
WorldGenerator.cpp(899) : {512 bytes} function: MINE_CRAFT::WorldGenDungeons::initialize
BiomeDecorator.cpp(24) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(234) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BlockManager.cpp(307) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
BiomeDecorator.cpp(13) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(253) : {168 bytes} function: MINE_CRAFT::BiomeGenBase::createBiomeDecorator
BlockManager.cpp(364) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
BiomeDecorator.cpp(20) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(14) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Item.cpp(345) : {92 bytes} function: MINE_CRAFT::Item::initialize
BlockManager.cpp(258) : {136 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(29) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(232) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BlockManager.cpp(371) : {144 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(25) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
NoiseGeneratorOctaves.cpp(14) : {32 bytes} function: MINE_CRAFT::NoiseGeneratorOctaves::NoiseGeneratorOctaves
BlockManager.cpp(365) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(13) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(34) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(26) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(234) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(14) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(35) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(30) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
StatList.cpp(265) : {84 bytes} function: MINE_CRAFT::StatList::initBreakStats
BiomeGen.cpp(253) : {168 bytes} function: MINE_CRAFT::BiomeGenBase::createBiomeDecorator
BiomeDecorator.cpp(27) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Item.cpp(346) : {92 bytes} function: MINE_CRAFT::Item::initialize
BlockManager.cpp(244) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(15) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeDecorator.cpp(33) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(17) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(190) : {84 bytes} function: MINE_CRAFT::StatList::initCraftableStats
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeDecorator.cpp(32) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeGen.cpp(231) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
GenLayer.cpp(124) : {48 bytes} function: MINE_CRAFT::GenLayer::initializeAllBiomeGenerators
BiomeDecorator.cpp(22) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(56) : {108 bytes} function: MINE_CRAFT::BiomeGenBase::initialize
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
BiomeDecorator.cpp(26) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(265) : {84 bytes} function: MINE_CRAFT::StatList::initBreakStats
BlockManager.cpp(349) : {136 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(20) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(332) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(35) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
WorldGenerator.cpp(908) : {20 bytes} function: MINE_CRAFT::WorldGenDungeons::initialize
Item.cpp(262) : {92 bytes} function: MINE_CRAFT::Item::initialize
