Lord Memory: Detected memory leaks !!! 
Lord Memory: (2769) Allocation(s) with total 1482708 bytes.
Lord Memory: Dumping allocations -> 
BiomeGen.cpp(230) : {120 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(232) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeGen.cpp(230) : {120 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
main.cpp(9) : {724 bytes} function: main
BiomeDecorator.cpp(27) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
BiomeDecorator.cpp(17) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(15) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(33) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
NibbleArray.cpp(8) : {2048 bytes} function: MINE_CRAFT::NibbleArray::NibbleArray
minecraft.cpp(137) : {308 bytes} function: MINE_CRAFT::MineCraft::init
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
BiomeDecorator.cpp(22) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
NibbleArray.cpp(8) : {2048 bytes} function: MINE_CRAFT::NibbleArray::NibbleArray
BiomeDecorator.cpp(20) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
NoiseGeneratorOctaves.cpp(14) : {32 bytes} function: MINE_CRAFT::NoiseGeneratorOctaves::NoiseGeneratorOctaves
BiomeDecorator.cpp(13) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Items.cpp(102) : {24 bytes} function: MINE_CRAFT::ArmorMaterial::initialize
Section.cpp(16) : {4096 bytes} function: MINE_CRAFT::Section::Section
Chunk.cpp(105) : {24 bytes} function: MINE_CRAFT::Chunk::CreateSection
LordMath.cpp(80) : {262144 bytes} function: LORD::Math::InitMathLib
Item.cpp(224) : {124 bytes} function: MINE_CRAFT::Item::initialize
BiomeDecorator.cpp(19) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(232) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
Section.cpp(18) : {16 bytes} function: MINE_CRAFT::Section::Section
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
BiomeDecorator.cpp(13) : {16 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
DamageSource.cpp(35) : {52 bytes} function: MINE_CRAFT::DamageSource::initialize
BlockManager.cpp(319) : {136 bytes} function: MINE_CRAFT::BlockManager::initialize
BiomeDecorator.cpp(18) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BlockManager.cpp(323) : {128 bytes} function: MINE_CRAFT::BlockManager::initialize
Section.cpp(16) : {4096 bytes} function: MINE_CRAFT::Section::Section
BlockManager.cpp(430) : {92 bytes} function: MINE_CRAFT::BlockManager::registBlockItems
DamageSource.cpp(34) : {52 bytes} function: MINE_CRAFT::DamageSource::initialize
StructurePieces.cpp(120) : {20 bytes} function: MINE_CRAFT::StructureNetherBridgePieces::initialize
BiomeDecorator.cpp(16) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeGen.cpp(234) : {8 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
Section.cpp(18) : {16 bytes} function: MINE_CRAFT::Section::Section
WeightedRandomItem.cpp(92) : {20 bytes} function: MINE_CRAFT::WeightedRandomChestContent::WeightedRandomChestContent
Section.cpp(16) : {4096 bytes} function: MINE_CRAFT::Section::Section
BiomeGen.cpp(229) : {24 bytes} function: MINE_CRAFT::BiomeGenBase::BiomeGenBase
StatList.cpp(240) : {84 bytes} function: MINE_CRAFT::StatList::initUsableStats
Section.cpp(16) : {4096 bytes} function: MINE_CRAFT::Section::Section
BiomeDecorator.cpp(24) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(19) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(35) : {12 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
BiomeDecorator.cpp(17) : {20 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
Chunk.cpp(36) : {256 bytes} function: MINE_CRAFT::Chunk::initialize
BiomeDecorator.cpp(32) : {8 bytes} function: MINE_CRAFT::BiomeDecorator::BiomeDecorator
